Season,League,League,G,RS,RA,OBP,SLG,BA,OOBP,OSLG,W,Playoffs
2009,LAA,AL,162,883,761,0.35,0.441,0.285,0.338,0.432,97,1
2009,LAD,NL,162,780,611,0.346,0.412,0.27,0.312,0.361,95,1
2009,MIL,NL,162,785,818,0.341,0.426,0.263,0.345,0.45,80,0
2009,MIN,AL,163,817,765,0.345,0.429,0.274,0.331,0.431,87,1
2009,NYM,NL,162,671,757,0.335,0.394,0.27,0.342,0.418,70,0
2009,NYY,AL,162,915,753,0.362,0.478,0.283,0.327,0.408,103,1
2009,OAK,AL,162,759,761,0.328,0.397,0.262,0.329,0.413,75,0
2009,PHI,NL,162,820,709,0.334,0.447,0.258,0.329,0.427,93,1
2009,PIT,NL,161,636,768,0.318,0.387,0.252,0.346,0.442,62,0
2009,SDP,NL,162,638,769,0.321,0.381,0.242,0.333,0.406,75,0
2009,SEA,AL,162,640,692,0.314,0.402,0.258,0.316,0.394,85,0
2009,SFG,NL,162,657,611,0.309,0.389,0.257,0.314,0.372,88,0
2009,STL,NL,162,730,640,0.332,0.415,0.263,0.319,0.386,91,1
2009,TBR,AL,162,803,754,0.343,0.439,0.263,0.324,0.417,84,0
2009,TEX,AL,162,784,740,0.32,0.445,0.26,0.331,0.416,87,0
2009,TOR,AL,162,798,771,0.333,0.44,0.266,0.339,0.434,75,0
2009,WSN,NL,162,710,874,0.337,0.406,0.258,0.352,0.45,59,0
2008,ARI,NL,162,720,706,0.327,0.415,0.251,0.318,0.398,82,0
2008,ATL,NL,162,753,778,0.345,0.408,0.27,0.336,0.423,72,0
2008,BAL,AL,161,782,869,0.333,0.429,0.267,0.361,0.435,68,0
2008,BOS,AL,162,845,694,0.358,0.447,0.28,0.323,0.39,95,1
2008,CHC,NL,161,855,671,0.354,0.443,0.278,0.316,0.395,97,1
2008,CHW,AL,163,811,729,0.332,0.448,0.263,0.32,0.41,89,1
2008,CIN,NL,162,704,800,0.321,0.408,0.247,0.345,0.45,74,0
2008,CLE,AL,162,805,761,0.339,0.424,0.262,0.33,0.424,81,0
2008,COL,NL,162,747,822,0.336,0.415,0.263,0.344,0.431,74,0
2008,DET,AL,162,821,857,0.34,0.444,0.271,0.353,0.437,74,0
2008,FLA,NL,161,770,767,0.326,0.433,0.254,0.333,0.407,84,0
2008,HOU,NL,161,712,743,0.323,0.415,0.263,0.328,0.44,86,0
2008,KCR,AL,162,691,781,0.32,0.397,0.269,0.328,0.415,75,0
2008,LAA,AL,162,765,697,0.33,0.413,0.268,0.323,0.406,100,1
2008,LAD,NL,162,700,648,0.333,0.399,0.264,0.315,0.376,84,1
